id,name,town,district,region,latitude,longitude,phone,website,specialty,created_at,updated_at,photo,category
391,Akyaa Memoria Hospital,Makro,Kumasi Metropolitan,Ashanti,6.79089,-1.56091,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
392,Alpha Maternity Home,Sokoban,Kumasi Metropolitan,Ashanti,6.84819,-1.54934,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
393,Amamata Memorial Maternity Home,Sawaba,Kumasi Metropolitan,Ashanti,6.84775,-1.56165,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
394,Amanfrom Clinic and Laboratory,North Zong-Manhyia,Kumasi Metropolitan,Ashanti,6.77474,-1.63906,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
395,Amoah Memorial Hospital,Pankrono,Kumasi Metropolitan,Ashanti,6.77928,-1.49126,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
396,Ampabame Clinic,Ampabame,Kumasi Metropolitan,Ashanti,6.76359,-1.61093,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
397,Ampomaa Memorial Maternity Home,Anwomaso-High Tension,Kumasi Metropolitan,Ashanti,6.79751,-1.50148,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
398,Animah Clinic,S-line Atonsu,Kumasi Metropolitan,Ashanti,6.65068,-1.59757,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
399,Animwaa Medical Centre,Amena,Kumasi Metropolitan,Ashanti,6.66518,-1.53521,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
400,Anwiam Clinic,Afful Nkwanta,Kumasi Metropolitan,Ashanti,6.69071,-1.60138,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
401,Anwomaso Health Centre,Anwomase,Kumasi Metropolitan,Ashanti,6.69163,-1.52678,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
402,Apatrapa Health Centre,Apatrapa,Kumasi Metropolitan,Ashanti,6.70711,-1.68302,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
403,Asihene's Clinic,Krofrom,Kumasi Metropolitan,Ashanti,6.71224,-1.61212,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
404,Assalam Clinic,Akrome,Kumasi Metropolitan,Ashanti,6.69779,-1.59361,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
405,Asuoyeboa Clinic,Asuoyeboa,Kumasi Metropolitan,Ashanti,6.69233,-1.66871,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
406,Atasemanso Hospital,Atasemanso,Kumasi Metropolitan,Ashanti,6.65207,-1.63318,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
407,Atsyor Hospital Complex,Ataafoa-Pankrono,Kumasi Metropolitan,Ashanti,6.74975,-1.61764,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
408,Atwima Timbers Clinic,Asokwa,Kumasi Metropolitan,Ashanti,6.66912,-1.61025,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
409,Ayeduasi Health Centre,Ayigya,Kumasi Metropolitan,Ashanti,6.68665,-1.57294,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
410,Ayiwa Maternity Home,New Suame,Kumasi Metropolitan,Ashanti,6.71566,-1.63377,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
411,Baby Pearl Maternity Home/Clinic,Buokrom,Kumasi Metropolitan,Ashanti,6.73838,-1.58911,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
412,Bantama Clinic,Bantama,Kumasi Metropolitan,Ashanti,6.70515,-1.63551,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
413,Bibiani Logging and Lumber Company Clin,Kaase,Kumasi Metropolitan,Ashanti,6.66372,-1.60467,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
414,Bilsons Allens Clinic,Ahinsan,Kumasi Metropolitan,Ashanti,6.67088,-1.58879,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
415,Bimpeh Hill Clinic,New Amakom,Kumasi Metropolitan,Ashanti,6.68167,-1.59926,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
416,Bimpeh Hill Hospital Annex,Ashanti New Town,Kumasi Metropolitan,Ashanti,6.70882,-1.61911,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
417,Boatemaa Maternity Home,Asokore Mampong,Kumasi Metropolitan,Ashanti,6.71371,-1.56683,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
418,Boatemaa Memorial Hospital,Asawase,Kumasi Metropolitan,Ashanti,6.70634,-1.60494,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
419,Bomso Specialist Hospital,Bomso,Kumasi Metropolitan,Ashanti,6.68453,-1.57888,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
420,Brainok Salvation Clinic,Ash Town,Kumasi Metropolitan,Ashanti,6.70479,-1.62295,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
421,Bremang Clinic,Bremang,Kumasi Metropolitan,Ashanti,6.74166,-1.63088,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
422,Central Male  Prisons Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69361,-1.62411,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
423,Central Maternity Home,Pankrono,Kumasi Metropolitan,Ashanti,6.74944,-1.60418,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
424,Central Maternity Home - ANNEX,Tafo Zongo,Kumasi Metropolitan,Ashanti,6.73331,-1.63381,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
425,Charity Hospital,Kropo,Kumasi Metropolitan,Ashanti,6.71818,-1.64221,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
426,Christ the King Clinic,Ahinsan,Kumasi Metropolitan,Ashanti,6.66257,-1.60041,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
427,Church of Christ Mission,Bomso,Kumasi Metropolitan,Ashanti,6.68583,-1.57932,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
428,City Hospital,Stadium,Kumasi Metropolitan,Ashanti,6.68016,-1.60371,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
429,Clinic Ash Town Ltd.,Ash Town,Kumasi Metropolitan,Ashanti,6.70518,-1.61943,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
430,Coca Cola Bottling Clinic,Ahinsan,Kumasi Metropolitan,Ashanti,6.66511,-1.60299,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
431,Cocoa Clinic,Cocobod-Adum,Kumasi Metropolitan,Ashanti,6.68368,-1.61667,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
432,Comfort Maternity Home,Oduom,Kumasi Metropolitan,Ashanti,6.69561,-1.54194,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
433,Complementary Clinic,Gyinase,Kumasi Metropolitan,Ashanti,6.66235,-1.57597,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
434,Cosmos Clinic,Bremang - Azar Junction,Kumasi Metropolitan,Ashanti,6.73039,-1.62736,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
435,County Hospital,Abrepo,Kumasi Metropolitan,Ashanti,6.72651,-1.65796,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
436,CPC Maternity and Clinic,Amanfrom,Kumasi Metropolitan,Ashanti,6.75543,-1.68412,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
437,Dr. Brown Clinic,Mile 3 Old Tafo,Kumasi Metropolitan,Ashanti,6.72655,-1.61519,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
438,Dr. Okyere Piese Clinic,Dichemso,Kumasi Metropolitan,Ashanti,6.71091,-1.60751,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
439,Dr. Osei Clinic,Akrome,Kumasi Metropolitan,Ashanti,6.69939,-1.59017,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
440,Dr. Quaye Clinic,Asuogya,Kumasi Metropolitan,Ashanti,6.71272,-1.64283,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
441,Dunkirk Clinic,Bompata,Kumasi Metropolitan,Ashanti,6.69216,-1.61853,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
442,Ebenezer Clinic,Anloga,Kumasi Metropolitan,Ashanti,6.67824,-1.59234,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
443,Ebenezer Maternity Home,Abrepo Junction,Kumasi Metropolitan,Ashanti,6.70995,-1.63812,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
444,Eliza Maternity Home,Akwatialine,Kumasi Metropolitan,Ashanti,6.69491,-1.60748,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
445,Emahata Clinic,Kwadaso,Kumasi Metropolitan,Ashanti,6.69256,-1.65813,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
446,Enec Dental Clinic,Ash Town,Kumasi Metropolitan,Ashanti,6.70338,-1.61768,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
447,Faith Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69499,-1.62411,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
448,Faith Maternity Home,Krofrom,Kumasi Metropolitan,Ashanti,6.71477,-1.61574,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
449,Florence Maternity Home,Anloga,Kumasi Metropolitan,Ashanti,6.68061,-1.59284,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
450,Gansmen's Medical Centre,Bremang North,Kumasi Metropolitan,Ashanti,6.74011,-1.62549,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
451,Ghana Brewery Clinic,Ahinsan,Kumasi Metropolitan,Ashanti,6.66385,-1.60114,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
452,Ghana Guiness Breweries Group Clinic,Ahinsan,Kumasi Metropolitan,Ashanti,6.65085,-1.60757,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
453,Girbrines Health Services and Clinic,Akwatialine Zongo,Kumasi Metropolitan,Ashanti,6.69477,-1.61418,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
454,Gloria Memorial Hospital,Akwatialine,Kumasi Metropolitan,Ashanti,6.69488,-1.60754,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
455,God First Clinic,Zone 3 Suame,Kumasi Metropolitan,Ashanti,6.71966,-1.62895,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
456,God's Glory Maternity Clinic,Kronum,Kumasi Metropolitan,Ashanti,6.75109,-1.63885,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
457,Graceland Clinic,Bremang,Kumasi Metropolitan,Ashanti,6.74229,-1.63593,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
458,Habitat Sawmill Clinic,Kaase,Kumasi Metropolitan,Ashanti,6.63872,-1.60925,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
459,Happy Day Maternity Home,Kronum,Kumasi Metropolitan,Ashanti,6.75545,-1.64439,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
460,Hebrona Hospital,Abrepo Junction,Kumasi Metropolitan,Ashanti,6.71107,-1.63417,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
461,Histolic Adventist Clinic,Maakro,Kumasi Metropolitan,Ashanti,6.73243,-1.63484,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
462,Holy Rosary Maternity Home,Old Tafo,Kumasi Metropolitan,Ashanti,6.73081,-1.61914,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
463,Humble Maternity Home - Annex,Pankrono Estate,Kumasi Metropolitan,Ashanti,6.74132,-1.60525,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
464,Islamic Homoepatic Clinic,Pankrono Estate,Kumasi Metropolitan,Ashanti,6.74326,-1.60367,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
465,JCM Company Clinic,Asokwa,Kumasi Metropolitan,Ashanti,6.66571,-1.60766,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
466,Joy Maternity Home Clinic,Maakro,Kumasi Metropolitan,Ashanti,6.72375,-1.63436,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
467,Kaase Maternity Home,Kaase,Kumasi Metropolitan,Ashanti,6.65464,-1.60718,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
468,Kama Clinic,Ash Town,Kumasi Metropolitan,Ashanti,6.69851,-1.62143,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
469,Keffam Hospital,Buokrom Estate,Kumasi Metropolitan,Ashanti,6.73951,-1.59561,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
470,Kezia Maternity Home and Clinic,Buokrom,Kumasi Metropolitan,Ashanti,6.72244,-1.59061,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
471,KMA Clinic,Adum,Kumasi Metropolitan,Ashanti,6.68488,-1.62353,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
472,KNUST Hospital,Ayigya,Kumasi Metropolitan,Ashanti,6.68409,-1.57378,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
473,Komfo Anokye Teaching Hospital,Bantama,Kumasi Metropolitan,Ashanti,6.69715,-1.63015,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Teaching Hospital
474,Kufour Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69507,-1.62213,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
475,Kumasi Female Prisons Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69393,-1.62343,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
476,Kumasi Medical Centre,Mbrom Dichemso,Kumasi Metropolitan,Ashanti,6.70454,-1.62448,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
477,Kumasi Medical Centre ANNEX,Bremang,Kumasi Metropolitan,Ashanti,6.73926,-1.63626,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
478,Kumasi South Government Hospital,Atonsu-Agogo,Kumasi Metropolitan,Ashanti,6.65252,-1.58471,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Regional Hospital
479,Kwesamkof New Tafo Clinic,New Tafo,Kumasi Metropolitan,Ashanti,6.71623,-1.61588,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
480,Kyei Memorial Hospital,Akwatialine,Kumasi Metropolitan,Ashanti,6.69529,-1.61002,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
481,Lake Road Clinic,Atonsu,Kumasi Metropolitan,Ashanti,6.66001,-1.59311,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
482,Levenuel Clinic,Nkontwima-Bremang,Kumasi Metropolitan,Ashanti,6.73766,-1.62888,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
483,Logs Logging and Lumber Clinic,Asokwa,Kumasi Metropolitan,Ashanti,6.67284,-1.60822,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
484,Maame Serwa Maternity Home,Atonsu-Bokro,Kumasi Metropolitan,Ashanti,6.64408,-1.59206,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
485,Maggie's Maternity Home,Atafoa - Pankrono,Kumasi Metropolitan,Ashanti,6.75131,-1.61758,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
486,Majero Maternity Home and Clinic,Ampabame,Kumasi Metropolitan,Ashanti,6.71839,-1.65101,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
487,Mammie Maternity Home,Buokrom Estate,Kumasi Metropolitan,Ashanti,6.74306,-1.59227,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
488,Manhyia Government Hospital,Manhyia,Kumasi Metropolitan,Ashanti,6.70396,-1.61191,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
489,Manukure Clinic,Bomso,Kumasi Metropolitan,Ashanti,6.68694,-1.57753,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
490,Maranatha Maternity Clinic,Asuoyeboa,Kumasi Metropolitan,Ashanti,6.69616,-1.66151,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
491,Mary's Maternity Home,New Asokwa,Kumasi Metropolitan,Ashanti,6.67783,-1.60169,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
492,Maternal and Child Health Hospital,Adum,Kumasi Metropolitan,Ashanti,6.69316,-1.62531,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
493,Matty Memorial Clinic,Moshie Zongo,Kumasi Metropolitan,Ashanti,6.72467,-1.60115,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
494,Mavelil Homoe Mission,New Suame,Kumasi Metropolitan,Ashanti,6.73165,-1.63384,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
495,Mbrom Hospital,Mbrom Dichemso,Kumasi Metropolitan,Ashanti,6.70534,-1.62392,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
496,Medical Center - ANNEX,Osborn Junction - Suame,Kumasi Metropolitan,Ashanti,6.73242,-1.62981,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
497,Mintah Afari Maternity Home,Bompata,Kumasi Metropolitan,Ashanti,6.69429,-1.61605,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
498,Mintah Clinic,UGC - Bremang,Kumasi Metropolitan,Ashanti,6.75026,-1.63139,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
499,Moshie Zongo Clinic,Moshie Zongo,Kumasi Metropolitan,Ashanti,6.72752,-1.60452,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
500,Naka and St. Ama Hospital,Buokrom,Kumasi Metropolitan,Ashanti,6.72976,-1.58603,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
501,New Era Clinic,Ayigya,Kumasi Metropolitan,Ashanti,6.68902,-1.57398,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
502,New Era Millennium Hospital,Bokro-Atonsu,Kumasi Metropolitan,Ashanti,6.64842,-1.59076,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
503,New Life Maternity  Home and Clinic,Zongo-Ayigya,Kumasi Metropolitan,Ashanti,6.69232,-1.57003,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
504,New Life Maternity and Clinic,Anwomase-Bebre,Kumasi Metropolitan,Ashanti,6.69702,-1.53315,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
505,New Tafo Clinic,Tafo Nhyiaso,Kumasi Metropolitan,Ashanti,6.71836,-1.61191,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
506,New Town Hospital,Ashanti Town,Kumasi Metropolitan,Ashanti,6.69967,-1.61925,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
507,Nkontwima Clinic,Nkontwima-Bremang,Kumasi Metropolitan,Ashanti,6.73251,-1.62602,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
508,Nyame ye Maternity Home,Asawase,Kumasi Metropolitan,Ashanti,6.70131,-1.60595,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
509,Oforikrom Clinic,Oforikrom,Kumasi Metropolitan,Ashanti,6.68986,-1.59339,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
510,Omega Sawmill Clinic,Kaase,Kumasi Metropolitan,Ashanti,6.65812,-1.60441,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
511,Our Lady Maternity Home,Bokro-Atonsu,Kumasi Metropolitan,Ashanti,6.64775,-1.59059,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
512,Owusuwa Memorial Maternity Maternity,Adukrom,Kumasi Metropolitan,Ashanti,6.70437,-1.58533,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
513,Owusuaa Maternity Home,Aboabo,Kumasi Metropolitan,Ashanti,6.69977,-1.59931,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
514,Paradise Maternity and Clinic,Ayigya,Kumasi Metropolitan,Ashanti,6.68739,-1.57368,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
515,Paul Sagoe Sawmill Clinic,Asokwa,Kumasi Metropolitan,Ashanti,6.66754,-1.60755,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
516,Peace and Love Hospital,Oduom,Kumasi Metropolitan,Ashanti,6.69904,-1.54041,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
517,Peace Land Clinic,South Suntreso,Kumasi Metropolitan,Ashanti,6.69002,-1.64039,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
518,Pima Clinic,Buokrom Estate,Kumasi Metropolitan,Ashanti,6.74661,-1.59242,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
519,Poku Transport Hospital,Asokwa,Kumasi Metropolitan,Ashanti,6.67289,-1.60181,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
520,Police Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69402,-1.62702,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
521,PPAG Clinic,New Suame,Kumasi Metropolitan,Ashanti,6.71789,-1.63674,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
522,PPAG Teen's Centre,Oforikrom,Kumasi Metropolitan,Ashanti,6.68805,-1.59241,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
523,Prince of Peace Clinic,Aboabo,Kumasi Metropolitan,Ashanti,6.69915,-1.60002,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
524,Quality Health Care Ltd.,Kentinkrono,Kumasi Metropolitan,Ashanti,6.69654,-1.55216,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
525,Queen of Peace Maternity Home,Adoato,Kumasi Metropolitan,Ashanti,6.70981,-1.64148,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
526,Queen Victory Maternity Home,Anloga,Kumasi Metropolitan,Ashanti,6.67908,-1.59208,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
527,Queens Hospital,Dompoase,Kumasi Metropolitan,Ashanti,6.63657,-1.58818,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
528,Rabito Clinic,Adum,Kumasi Metropolitan,Ashanti,6.69298,-1.62267,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
529,Railway Clinic,Railways Adum,Kumasi Metropolitan,Ashanti,6.69196,-1.61926,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
530,Rophi Hospital,Old Tafo,Kumasi Metropolitan,Ashanti,6.73026,-1.61204,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
531,Rophii Hospital,Akwatialine,Kumasi Metropolitan,Ashanti,6.69504,-1.61193,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
532,Rucky Memorial Maternity Clinic,Sawaba,Kumasi Metropolitan,Ashanti,6.70227,-1.58091,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
533,Russia Clinic,Moshie Zongo,Kumasi Metropolitan,Ashanti,6.72609,-1.60633,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
534,Safo Adu Hosptal,Manhyia,Kumasi Metropolitan,Ashanti,6.70301,-1.61371,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
535,Sedom Clinic,Bantama,Kumasi Metropolitan,Ashanti,6.70286,-1.63373,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
536,Sepe Dote Clinic,Sepe Dote,Kumasi Metropolitan,Ashanti,6.71914,-1.57917,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
537,Sepe-Buokrom Community Clinic,Buokrom,Kumasi Metropolitan,Ashanti,6.72118,-1.59593,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
538,Shalom Maternity Home,Pankrono,Kumasi Metropolitan,Ashanti,6.75172,-1.60518,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
539,Siaw Larbi Hospital,Mile 4 - Tafo,Kumasi Metropolitan,Ashanti,6.74196,-1.61304,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
